1,阿姨,āyí,"тётя, тётка; (при обращении) тётя; няня (в детском саду)",
2,啊,a,фразовая частица восклицательных и побудительных предложений; не переводится,"别忙啊  ! [biě máng a] — не торопитесь!快些来 啊  ! [kuài xiē lái a] — приходите быстрее!"
3,唉,āi,да; ох; эх; ах,"唉  ,  我这就去  [āi, wǒ zhè jiù qù] — да [ладно], я сейчас иду"
4,唉哟,āiyō,ой,
5,癌症,áizhèng,рак (мед.),
6,矮,ǎi,"низкорослый, низкий","几棵矮树  [jǐkē ǎi shù] — несколько низкорослых деревьев 他比他哥哥矮  [tā bǐ tā gēge ǎi] — он ниже своего брата"
7,爱,ài,любить; любовь; любимый,"爱祖国  [ài zǔguó] — любить родину 母爱  [mǔ’ài] — материнская любовь"
8,爱不释手,àibùshìshǒu,"понравилось так, что из рук не выпустишь (обр. в знач.: быть очарованным чём-л.; восхититься безмерно)",
9,爱戴,àidài,любить; почитать; любовь,
10,爱好,àihào,"любить, иметь склонность [влечение] к чему-либо, хобби","爱好音乐  [àihào yīnyùe] — любить музыку"
11,爱护,àihù,беречь; любить; проявлять,爱护儿童  [àihù ,,,заботу,"értóng] — любить детей; заботиться о детях"
12,爱情,ài qíng,любовь; чувство любви,
13,爱惜,àixī,дорожить чем-либо; беречь что-либо,"爱惜时间  [àixī shíjiān] — беречь время; дорожить временем"
14,爱心,àixīn,"влюблённая душа; любовь, страсть",
15,暧昧,àimèi,"туманный; неопределённый; двусмысленный","туманный; неопределённый; двусмысленный"
16,挨,āi,"рядом, около","你挨着我坐吧  ! [nǐ āizhe wǒ zuò ba] — садись рядом со мной"
17,安静,ānjìng,покойный; тихий; тишина; покой,"病人需要安静 [bìngrén xūyào ānjìng] — больной нуждается в покое"
18,安居乐业,ānjū lèyè,жить в мире и благоденствии,
19,安宁,ānníng,"спокойствие; безмятежность; спокойный; безмятежный",
20,安排,ānpái,"налаживать; устраивать; планировать",
21,安全,ānquán,безопасность; безопасный,"安全带  [ānquándài] — ремни безопасности"
22,安慰,ānwèi,"утешать; успокаивать; утешение",
23,安详,ānxiáng,"спокойный; невозмутимый",
24,安置,ānzhì,устроить; разместить,
25,安装,ānzhuāng,"монтировать; устанавливать",
26,岸,àn,берег,"海岸  [hǎi’àn] — берег моря 上岸 [shàng àn] — выйти" ,,,,"[высадиться] на берег"
27,暗,àn,тёмный; мрачный; тусклый,"屋子太暗  [wūzi tài àn] — комната слишком тёмная"
28,暗示,ànshì,"намекать; делать намёк; намёк",
29,案件,ànjiàn,дело (юр.),"民事案件  [mínshì ànjiàn] — гражданское дело 刑事案件  [xíngshì ànjiàn] — уголовное дело"
30,案例,ànlì,"судебное дело, разбирательство",
31,按摩,ànmó,"делать массаж; массировать",
32,按时,ànshí,вовремя; своевременно,
33,按照,ànzhào,согласно; по; в соответствии с,"按照计划  [ànzhào jìhuà] — в соответствии с планом; по плану"
34,昂贵,ángguì,дорогой; втридорога,
35,凹凸,āotū,вогнуто-выпуклый,
36,熬,áo,долго варить; вываривать,熬粥  [áo zhōu] — варить кашу
37,奥秘,àomì,"тайна; секрет; сокровенный",
38,八,bā,восемь; восьмой,
39,扒,bā,копать; рыть; сносить; сдирать; снимать,"扒土  [bā tǔ] — копать землю 扒下背心  [bāxia bèixīn] — снять майку"
40,疤,bā,"шрам, рубец","脸上留下一个疤 [liǎnshang liúxia yīge bā] — на лице остался шрам"
41,巴不得,bābude,"как хорошо бы…; так хочется…; о, если бы…",
42,巴结,bājie,"заискивать, угодничать, подхалимничать",
43,拔苗助长,"bámiáo zhùzhǎng","тянуть ростки, чтобы помочь их росту (оказывать медвежью услугу)",
44,把,bǎ,"держать в руках; взять(ся); сл. слово, используемое для инверсии дополнения","把着栏杆  [bǎzhe lángān] — держаться за перила 把书拿来 [bǎ shū nálai] — принести книгу"
45,把关,bǎguān,"охранять заставу (проход); держать ключевые позиции",
46,把手,bǎshǒu,ручка; рукоятка,
47,把握,bǎwò,уверенность; гарантия,"没有成功的把握 [méiyǒu chénggōngde bǎwò] — нет гарантии в успехе"
48,把戏,bǎxì,"фокус; трюк, уловка, махинация","耍把戏  [shuǎ bǎxì] — показывать фокусы"
49,爸爸,bàba,"папа, тятя",
50,霸道,bàdào,"деспотичность; жестокость",
51,罢工,bàgōng,забастовка; бастовать,"静坐罢工  [jìngzuò bàgōng] — сидячая забастовка"
52,吧,ba,выражает побуждение или предположение,"你放心吧  [nǐ fàngxīn ba] — успокойся; не беспокойся"
53,掰,bāi,разломить,"掰成两半儿 [bāichéng liǎngbànr] — разломить пополам [на две части]"
