1,爱,ài,любить; любовь; любимый,"爱祖国  [ài zǔguó] — любить родину 母爱  [mǔ’ài] — материнская любовь"
2,八,bā,восемь; восьмой,
3,爸爸,bà ba,"папа, тятя",
4,杯子,bēi zi,"стакан; кружка; бокал; рюмка",
5,北京,Běi jīng,Пекин,
6,本,běn,"счётное слово для растений, цветов",
7,不客气,bù kè qi,не церемоньтесь!; не стесняйтесь!,
8,不,bù,отрицательная частица не,"我不去  [wǒ bùqù] — я не пойду [не поеду]"
9,菜,cài,овощи; блюдо; пища; стол,"种菜  [zhòng cài] — сажать овощи 中菜 [zhōngcài] — китайская кухня; китайские блюда"
10,茶,chá,чай,喝茶  [hē chá] — пить чай
11,吃,chī,"есть, кушать","吃水果  [chī shuǐguǒ] — кушать фрукты 吃药 [chīyào] — принимать лекарства"
12,出租车,chū zū chē,такси,
13,打电话,dǎ diàn huà,звонить по телефону,
14,大,dà,большой; крупный; великий; огромный,"大成市  [dà chéngshì] — большой [крупный] город 大事  [dàshì] — большое [важное] событие"
15,的,de,суффикс прилагательного; суффикс притяжательности,"大的  [wèidàde] — великий 父亲的话 [fùqīnde huà] — слова отца"
16,点,diǎn,"капля; немножко, чуточку; точка; запятая","雨点  [yǔdiǎn] — капля дождя 零点五 [líng diǎn wǔ] — 0,5 [ноль целых пять десятых]"
17,电脑,diàn nǎo,компьютер,"电脑软件  [diànnǎo ruǎnjiàn] — программные компоненты компьютера"
18,电视,diàn shì,телевидение;,电视连续剧 ;;;телевизионный;"[diànshì liánxùjù] — телесериал 电视片 [diànshìpiàn] — телефильм"
19,电影,diàn yǐng,кино,"电影片 [diànyǐngpiàn] — кинофильм"
20,东西,dōng xi,вещь; предмет,
21,都,dōu,все; всё,"他们都去  [tāmen dōu qù] — они все пойдут"
22,读,dú,читать; зачитывать,"读报  [dúbào] — читать газеты; читка газет (вслух) 读大学  [dú dàxué] — учиться в университете"
23,对不起,duì bu qǐ,"виноват!, простите!, извините!",
24,多,duō,много; многочисленный; свыше,"事情很多  [shìqíng hěnduō] — дел очень много 一年多 [yīnián duō] — год с лишним 多糟  ! [duō zāo] — до чего скверно!"
25,多少,duō shao,сколько?,
26,儿子,ér zi,сын,
27,二,èr,два; второй,"二路公共汽车  [èrlù gōnggòng qìchē] — автобус номер два二中全会 [èrzhōngquánhuì] — второй пленум ЦК"
28,饭馆,fàn guǎn,ресторан; столовая,
29,飞机,fēi jī,самолёт,
30,分钟,fēn zhōng,минута,
31,高兴,gāo xìng,радоваться; радостный,
32,个,gè,"универсальное сч. сл.; отдельный; индивидуальный","洗个澡  [xǐgè zǎo] — помыться"
33,工作,gōng zuò,работать; работа,
34,狗,gǒu,собака; собачий,猎狗  [liègǒu] — ;;;;"охотничья собака 狗吠  [gǒufèi] — собачий лай"
35,汉语,Hàn yǔ,китайский язык,
36,好,hǎo,хороший; хорошо; приятный; удобный,"一切都好  [yīqiè dōu hǎo] — всё хорошо; всё в порядке 好听 [hǎotīng] — приятный для слуха"
37,喝,hē,пить,"喝茶  [hē chá] — пить чай 爱喝  [ài hē] — любить выпить"
38,和,hé,мирный; союз и; предлог с,"和谈  [hétán] — мирные переговоры" ;;;;"和大家一起  [hé dàjiā yīqǐ] — вместе со всеми"
39,很,hěn,очень; весьма,很好  [hěnhǎo] — очень хорошо
40,后面,hòu mian,"задняя сторона; зад; позади, сзади; задний",
41,回,huí,возвращаться,"回国  [huíguó] — вернуться на родину 回过头来 [huíguotóulai] — повернуть голову назад; обернуться"
42,会,huì,уметь; мочь; владеть; собрание; заседание,"今天我们有个会 [jīntiān wǒmen yǒuge huì] — сегодня у нас собрание" ;;;;"[заседание]我不会 游泳  [wǒ bùhuì yóuyǒng] — я не умею плавать"
43,火车站,huǒ chē zhàn,вокзал; железнодорожная станция,
44,几,jǐ,сколько?; несколько; немного,"几个人  ? [jǐge rén] — сколько человек?"
45,家,jiā,семья; семейство; дом; домашний,"我的家  [wǒdejiā] — моя семья 家事 [jiāshì] — домашние дела"
46,叫,jiào,кричать; крик; звать; подзывать; вызывать,"鸡叫  [jījiào] — крик петуха 他叫什么名字  ? [tā jiào shénme míngzì] — как его зовут?; как его имя?"
47,今天,jīn tiān,сегодня; нынешний день,
48,九,jiǔ,девять; девятый,
49,开,kāi,открывать; управлять; вести; включать,"开门  [kāimén] — открыть дверь [ворота]开汽车  [kāi qìchē] — управлять автомобилем; вести машину"
50,看,kàn,смотреть; читать (про себя); навестить,"看电影  [kàn diànyǐng] — смотреть кино [фильм]看朋友 [kàn péngyou] — навестить друга"
51,看见,kàn jiàn,увидеть; видеть,"看不见  [kànbujiàn] — нельзя рассмотреть; не видно"
52,块,kuài,"сч. сл. для основных денежных единиц; кусок; глыба","一块卢布  [yī kuài lúbù] — один рубль"
53,来,lái,приходить; прибывать; приезжать,"请他来  [qǐng tā lái] — попроси его прийти  来了一个代表团  [láile yīge dàibiǎotuán] — прибыла [приехала] делегация"
54,老师,lǎo shī,учитель; преподаватель,
55,了,le,"глагольный суффикс завершенности действия","我写了信就来  [wǒ xiěle xìn jiù lái] — я напишу письмо и приду"
56,冷,lěng,холодный; холодно; холод,外面很冷  [wàimian hěn lěng] — на ;;;;"улице очень холодно"
57,里,lǐ,внутри; в,"皮箱里  [píxiāngli] — в чемодане 屋子里  [wūzili] — в комнате"
58,零,líng,ноль; нолевой,"零下五度  [língxià wǔdù] — пять градусов ниже нуля 零三号  [yī líng sān hào] — №103"
59,六,liù,шесть; шестой,
60,妈妈,mā ma,мама,
61,吗,ma,"фразовая частица, выражающая вопрос","他来了吗  ? [tā láile ma] — он пришёл? 这件事吗  ,  其实不 能怪他  [zhèjiàn shì ma, qíshì bùnéng guài tā] — в этом-то он, по сути дела, и не виноват; в этом его, как раз, винить и нельзя"
62,买,mǎi,"покупать, приобретать","买东西  [mǎidōngxi] — покупать вещи; делать покупки"
63,猫,māo,кошка,
