id,汉字,出现次数,频率（%）,累积频率（%）
1,的,759834,4.8867,4.8867
2,一,218650,1.4062,6.2929
3,是,204548,1.3155,7.6084
4,不,166481,1.0707,8.6791
5,了,147981,0.9517,9.6308
6,在,143951,0.9258,10.5566
7,有,141221,0.9082,11.4648
8,人,121628,0.7822,12.247
9,这,118473,0.7619,13.0089
10,上,93773,0.6031,13.612
11,大,90830,0.5842,14.1962
12,来,89806,0.5776,14.7738
13,和,89644,0.5765,15.3503
14,我,89561,0.576,15.9263
15,个,88999,0.5724,16.4987
16,中,84897,0.546,17.0447
17,地,83575,0.5375,17.5822
18,为,83201,0.5351,18.1173
19,他,76432,0.4916,18.6089
20,生,76261,0.4905,19.0994
21,要,75230,0.4838,19.5832
22,们,74062,0.4763,20.0595
23,以,72998,0.4695,20.529
24,到,72392,0.4656,20.9946
25,国,67651,0.4351,21.4297
26,时,67073,0.4314,21.8611
27,就,65678,0.4224,22.2835
28,出,62060,0.3991,22.6826
29,说,60811,0.3911,23.0737
30,会,59732,0.3842,23.4579
31,也,58203,0.3743,23.8322
32,子,57123,0.3674,24.1996
33,学,55984,0.36,24.5596
34,发,55875,0.3593,24.9189
35,着,55666,0.358,25.2769
36,对,54649,0.3515,25.6284
37,作,54616,0.3512,25.9796
38,能,54355,0.3496,26.3292
39,可,54066,0.3477,26.6769
40,于,53387,0.3433,27.0202
41,成,53259,0.3425,27.3627
42,用,52866,0.34,27.7027
43,过,50574,0.3253,28.028
44,动,50395,0.3241,28.3521
45,主,50249,0.3232,28.6753
46,下,49733,0.3198,28.9951
47,而,49418,0.3178,29.3129
48,年,47441,0.3051,29.618
49,分,46501,0.2991,29.9171
50,得,46297,0.2977,30.2148
51,家,45991,0.2958,30.5106
52,种,45686,0.2938,30.8044
53,里,45585,0.2932,31.0976
54,多,44206,0.2843,31.3819
55,经,43430,0.2793,31.6612
56,自,43412,0.2792,31.9404
57,现,43040,0.2768,32.2172
58,同,42903,0.2759,32.4931
59,后,42643,0.2742,32.7673
60,产,42449,0.273,33.0403
61,方,41222,0.2651,33.3054
62,工,40196,0.2585,33.5639
63,行,38811,0.2496,33.8135
64,面,38643,0.2485,34.062
